#S 	 T 	  n 	 l 	 m 
2.0782e+06 	  -0.0000e+00 	 0 	 0 	 0 
6.2263e+02 	  -0.0000e+00 	 0 	 1 	 0 
-3.4486e+03 	  2.0784e+03 	 0 	 1 	 1 
1.3988e+06 	  -0.0000e+00 	 0 	 2 	 0 
1.1537e+04 	  -1.6900e+03 	 0 	 2 	 1 
-2.3627e+03 	  -6.4676e+03 	 0 	 2 	 2 
2.4386e+01 	  -0.0000e+00 	 0 	 3 	 0 
8.7272e+03 	  -1.5090e+04 	 0 	 3 	 1 
-1.0611e+04 	  1.4167e+04 	 0 	 3 	 2 
6.8601e+03 	  -1.6976e+04 	 0 	 3 	 3 
2.7439e+06 	  -0.0000e+00 	 0 	 4 	 0 
1.5053e+04 	  -1.6194e+01 	 0 	 4 	 1 
-9.1768e+03 	  2.4854e+04 	 0 	 4 	 2 
9.7259e+03 	  -3.6540e+02 	 0 	 4 	 3 
3.4193e+04 	  -2.6338e+03 	 0 	 4 	 4 
-9.9892e+04 	  -0.0000e+00 	 0 	 5 	 0 
-8.0912e+04 	  -6.9352e+04 	 0 	 5 	 1 
3.7820e+04 	  2.5072e+04 	 0 	 5 	 2 
2.3212e+04 	  -4.5611e+04 	 0 	 5 	 3 
4.4301e+04 	  2.0316e+05 	 0 	 5 	 4 
-1.2566e+05 	  1.8923e+05 	 0 	 5 	 5 
7.3128e+06 	  -0.0000e+00 	 0 	 6 	 0 
-3.4400e+05 	  1.5772e+05 	 0 	 6 	 1 
-1.7899e+05 	  4.3555e+05 	 0 	 6 	 2 
2.1658e+05 	  1.2247e+05 	 0 	 6 	 3 
2.7662e+05 	  1.5543e+03 	 0 	 6 	 4 
1.9980e+05 	  5.7098e+04 	 0 	 6 	 5 
1.1764e+05 	  6.5622e+04 	 0 	 6 	 6 
2.3115e+05 	  -0.0000e+00 	 0 	 7 	 0 
7.5695e+04 	  9.9845e+04 	 0 	 7 	 1 
6.6581e+05 	  2.1103e+06 	 0 	 7 	 2 
-6.7801e+05 	  -3.9253e+05 	 0 	 7 	 3 
1.1645e+05 	  1.7730e+06 	 0 	 7 	 4 
1.4262e+05 	  3.6994e+05 	 0 	 7 	 5 
-1.7879e+05 	  8.0348e+05 	 0 	 7 	 6 
-2.5951e+05 	  7.3090e+05 	 0 	 7 	 7 
2.3310e+07 	  -0.0000e+00 	 0 	 8 	 0 
1.2221e+06 	  -2.8571e+06 	 0 	 8 	 1 
-3.7903e+06 	  7.3626e+05 	 0 	 8 	 2 
-1.5704e+06 	  7.4680e+04 	 0 	 8 	 3 
6.7425e+06 	  4.7925e+06 	 0 	 8 	 4 
-4.4330e+05 	  -1.7180e+06 	 0 	 8 	 5 
5.4301e+06 	  9.7589e+05 	 0 	 8 	 6 
1.4307e+06 	  1.7450e+06 	 0 	 8 	 7 
1.0914e+06 	  -8.1467e+05 	 0 	 8 	 8 
4.9533e+06 	  -0.0000e+00 	 0 	 9 	 0 
-1.1081e+07 	  2.1336e+06 	 0 	 9 	 1 
8.7281e+06 	  1.4770e+07 	 0 	 9 	 2 
1.8904e+06 	  -1.1118e+07 	 0 	 9 	 3 
4.9864e+06 	  1.2164e+07 	 0 	 9 	 4 
-1.3731e+07 	  -3.0832e+06 	 0 	 9 	 5 
-1.6366e+06 	  -4.5103e+06 	 0 	 9 	 6 
6.7721e+06 	  8.7722e+06 	 0 	 9 	 7 
4.1271e+06 	  -5.7959e+06 	 0 	 9 	 8 
5.3039e+06 	  3.6709e+06 	 0 	 9 	 9 
9.0407e+07 	  -0.0000e+00 	 0 	 10 	 0 
-2.5414e+07 	  2.1789e+07 	 0 	 10 	 1 
-9.6319e+06 	  1.1146e+07 	 0 	 10 	 2 
3.6871e+06 	  8.6848e+07 	 0 	 10 	 3 
3.8417e+07 	  -2.7520e+07 	 0 	 10 	 4 
-7.2676e+05 	  3.1836e+06 	 0 	 10 	 5 
3.7926e+07 	  2.4686e+07 	 0 	 10 	 6 
-3.0569e+07 	  4.9075e+07 	 0 	 10 	 7 
-1.2837e+07 	  -1.1451e+07 	 0 	 10 	 8 
3.4764e+07 	  2.6648e+07 	 0 	 10 	 9 
-1.6499e+07 	  3.0153e+07 	 0 	 10 	 10 
1.7356e+08 	  -0.0000e+00 	 0 	 11 	 0 
-9.0318e+07 	  -1.8304e+08 	 0 	 11 	 1 
1.3325e+08 	  5.3299e+07 	 0 	 11 	 2 
-1.7414e+08 	  5.1278e+07 	 0 	 11 	 3 
8.3745e+06 	  -2.3621e+08 	 0 	 11 	 4 
9.3730e+07 	  -8.9314e+07 	 0 	 11 	 5 
-8.7852e+07 	  -6.2350e+07 	 0 	 11 	 6 
-4.8027e+07 	  6.7389e+07 	 0 	 11 	 7 
1.1247e+08 	  -6.7616e+07 	 0 	 11 	 8 
4.3232e+06 	  -9.9756e+07 	 0 	 11 	 9 
-3.8733e+07 	  6.3035e+07 	 0 	 11 	 10 
-7.8657e+07 	  -1.6404e+08 	 0 	 11 	 11 
3.4338e+07 	  -0.0000e+00 	 0 	 12 	 0 
2.1224e+08 	  4.3586e+08 	 0 	 12 	 1 
2.7779e+08 	  -2.0251e+08 	 0 	 12 	 2 
3.7689e+08 	  4.2245e+08 	 0 	 12 	 3 
5.8117e+08 	  -1.7484e+07 	 0 	 12 	 4 
-7.2296e+07 	  -4.0481e+08 	 0 	 12 	 5 
5.9207e+08 	  5.9507e+08 	 0 	 12 	 6 
8.5624e+07 	  -1.2171e+08 	 0 	 12 	 7 
-3.3996e+08 	  2.0964e+08 	 0 	 12 	 8 
